Mine Code,Mine Name,Commodity,Type,Owner,Tel,District,Province,Farm,Postal
15126,AC STRAUSS,DIAMONDS ALLUVIAL,OPENCAST,LITTLE ROCK TRADING 6 CC,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,WILDGOOSELODGE 136 HO,PO BOX 1086 SCHWEIZER-RENEKE 2780
15301,AC STRAUSS,DIAMONDS ALLUVIAL,OPENCAST,AC STRAUSS,(053) 963 2900,SCHWEIZER - RENEKE,NORTH-WEST,MIMOSA 61 HO RE OF 22,PO BOX 309 SCHWEIZER-RENEKE 2780
14545,AFPLATS (PTY) LTD-LEEUWKOP MINE,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",UNDERGROUND,IMPALA PLATINUM HOLDINGS LTD,(014) 569 3802,BRITS,NORTH-WEST,LEEUWKOP 402 JQ,PO BOX 5683 RUSTENBURG 0300
14315,AFRICAN DIAMOND RESOURCES MINING & EXPLORATION,DIAMONDS ALLUVIAL,OPENCAST,AFRICAN DIAMOND RESOURCES MINING & EXPLORATION,(053) 050 0306,SCHWEIZER - RENEKE,NORTH-WEST,"KAMEELKUIL 88 HO PTN 7, KROMPAN 85 HO PTNS 10&11, VAALPOORT 84 HO PTN 6",PO BOX 131 SCHWEIZER RENEKE 2780
10015,AFRISAM (SA) (PTY) LTD,"LIMESTONE, LIME, SHALE FOR CEMENT",OPENCAST,AFRISAM (SA) (PTY) LTD,(018) 633 6000,LICHTENBURG,NORTH-WEST,DUDFIELD 35 IP,PO BOX 600 LICHTENBURG 2740
14538,AMADWALA TRADING 399 CC,DIAMONDS ALLUVIAL,OPENCAST,DRY HARTS DIAMONDS CC,(053) 963 1081,SCHWEIZER - RENEKE,NORTH-WEST,"NOOITGEDACHT 144 HO, ZOETFONTEIN 168 HO",PO BOX 1086 SCHWEIZER-RENEKE 2780
15051,AMBER CASCADES TRADING 3 CC,DIAMONDS ALLUVIAL,OPENCAST,AMBER CASCADES TRADING 3 CC,(053) 963 1108,SCHWEIZER - RENEKE,NORTH-WEST,KAMEELKUIL 88 HO,PO BOX 93 SCHWEIZER-RENEKE 2780
15232,AN DELWERY,DIAMONDS ALLUVIAL,OPENCAST,ARNO VAN ZYL,824 404 431,WOLMARANSSTAD,NORTH-WEST,ROOIBULT,PO BOX 186 WOLMARANSSTAD 2630
15118,ANDRE WARD,SAND NATURAL,OPENCAST,ANDRE WARD,083 228 9909,MADIKWE,NORTH-WEST,ZANDFONTEIN 35 JP,PO BOX 1002 ZEERUST 2865
14701,ANGLO PLATINUM UNION CONCENTRATORS,"PGM, GOLD, COBALT METAL IC, COPPER, NICKEL, SULPHUR",SURFACE,ANGLO PLATINUM LTD,(014) 786 1170,RUSTENBURG,NORTH-WEST,,PO BOX 8208 RUSTENBURG 0300
